text,label,clean_text
the emotional overload of female angst irreparably drags the film down.,negative,the emotional overload of female angst irreparably drags the film down
"House lawmakers noted that in 1985 the United States took steps to reduce loan rates, committee staff said.",neutral,house lawmakers noted that in the united states took steps to reduce loan rates committee staff said
the level of acting elevates the material above pat inspirational status and gives it a sturdiness and solidity that we've long associated with washington the actor.,positive,the level of acting elevates the material above pat inspirational status and gives it a sturdiness and solidity that we've long associated with washington the actor
viewers of barney's crushingly self-indulgent spectacle will see nothing in it to match the ordeal of sitting through it.,negative,viewers of barney's crushingly self indulgent spectacle will see nothing in it to match the ordeal of sitting through it
"Last year, Japan racked up a 3. 6 billion dlr trade surplus with the United States in these products.",neutral,last year japan racked up a billion dlr trade surplus with the united states in these products
The view is absolutely stunning.,positive,the view is absolutely stunning
Not only workers but also businessmen are restive.,neutral,not only workers but also businessmen are restive
"expect to be reminded of other, better films, especially seven, which director william malone slavishly copies.",negative,expect to be reminded of other better films especially seven which director william malone slavishly copies
"a good music documentary, probably one of the best since the last waltz.",positive,a good music documentary probably one of the best since the last waltz
""" He ( Lyng ) does not intend to bring it up,"" the aide said, adding that the subsidy offer remains "" dormant.""",neutral,he lyng does not intend to bring it up the aide said adding that the subsidy offer remains dormant
"the film is a confusing melange of tones and styles, one moment a romantic trifle and the next a turgid drama.",negative,the film is a confusing melange of tones and styles one moment a romantic trifle and the next a turgid drama
But Johnson warned against reliance on inflow of foreign capital to finance investment and the budget deficit and keep interest rates stable.,neutral,but johnson warned against reliance on inflow of foreign capital to finance investment and the budget deficit and keep interest rates stable
The two firms are the biggest private sector employers in Surinam.,neutral,the two firms are the biggest private sector employers in surinam
"It also has reorganized management, and focused its operations on businesses that would be less affected by foreign competition, Gormley said.",neutral,it also has reorganized management and focused its operations on businesses that would be less affected by foreign competition gormley said
"some elements of it really blow the big one, but other parts are decent.",negative,some elements of it really blow the big one but other parts are decent
"Reed told Reuters that GenCorp chairman A. William Reynolds "" was not interested in sitting down and talking with us at this time.""",neutral,reed told reuters that gencorp chairman a william reynolds was not interested in sitting down and talking with us at this time
it may... work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns.,positive,it may work as a jaunt down memory lane for teens and young adults who grew up on televised scooby doo shows or reruns
""" Foreign exchange fluctuations in 1986 were a very significant factor behind developments in the result before and after tax,"" Novo said in a statement.",neutral,foreign exchange fluctuations in were a very significant factor behind developments in the result before and after tax novo said in a statement
This is a lovely house.,positive,this is a lovely house
"... is funny in the way that makes you ache with sadness ( the way chekhov is funny ), profound without ever being self-important, warm without ever succumbing to sentimentality.",positive,is funny in the way that makes you ache with sadness the way chekhov is funny profound without ever being self important warm without ever succumbing to sentimentality
"though tom shadyac's film kicks off spookily enough, around the halfway mark it takes an abrupt turn into glucose sentimentality and laughable contrivance.",negative,though tom shadyac's film kicks off spookily enough around the halfway mark it takes an abrupt turn into glucose sentimentality and laughable contrivance
"often demented in a good way, but it is an uneven film for the most part.",positive,often demented in a good way but it is an uneven film for the most part
"He accused the U. S. of being "" irrational.""",neutral,he accused the u s of being irrational
"one long, numbing action sequence made up mostly of routine stuff yuen has given us before.",negative,one long numbing action sequence made up mostly of routine stuff yuen has given us before
HOUSE PANEL WANTS PENTAGON MANAGE U. S.,neutral,house panel wants pentagon manage u s
Reagan said there were recent signs Japan was beginning to adhere to the pact and that was why he was not terminating it.,neutral,reagan said there were recent signs japan was beginning to adhere to the pact and that was why he was not terminating it
... a quietly introspective portrait of the self-esteem of employment and the shame of losing a job...,positive,a quietly introspective portrait of the self esteem of employment and the shame of losing a job
Details of the plan are outlined in a letter to be mailed to stockholders.,neutral,details of the plan are outlined in a letter to be mailed to stockholders
"But a U. S. Official disputed the assessment that, with Darman gone, Baker would abandon international initiatives.",neutral,but a u s official disputed the assessment that with darman gone baker would abandon international initiatives
ARMISTICE ELUDES EC AND U. S.,neutral,armistice eludes ec and u s
"yes, one enjoys seeing joan grow from awkward young woman to strong, determined monarch, but her love for the philandering philip only diminishes her stature.",negative,yes one enjoys seeing joan grow from awkward young woman to strong determined monarch but her love for the philandering philip only diminishes her stature
some decent actors inflict big damage upon their reputations.,negative,some decent actors inflict big damage upon their reputations
"The effective rate, including a central bank levy, for transactions in the coming week, was 3. 8241 against 3. 9246 last week.",neutral,the effective rate including a central bank levy for transactions in the coming week was against last week
"it extends the writings of jean genet and john rechy, the films of fassbinder, perhaps even the nocturnal works of goya.",positive,it extends the writings of jean genet and john rechy the films of fassbinder perhaps even the nocturnal works of goya
This is such a hassle.,negative,this is such a hassle
February ' s production figure fell slightly short of YPF ' s target figure of 2. 90 mln cubic metres.,neutral,february ' s production figure fell slightly short of ypf ' s target figure of mln cubic metres
lovely and poignant. puts a human face on a land most westerners are unfamiliar with.,positive,lovely and poignant puts a human face on a land most westerners are unfamiliar with
"The company alleged that beginning in mid - 1986, Coastal and its chairman took various steps to acquire its gas and other assets.",neutral,the company alleged that beginning in mid coastal and its chairman took various steps to acquire its gas and other assets
"the video work is so grainy and rough, so dependent on being'naturalistic' rather than carefully lit and set up, that it's exhausting to watch.",negative,the video work is so grainy and rough so dependent on being'naturalistic' rather than carefully lit and set up that it's exhausting to watch
a weird and wonderful comedy.,positive,a weird and wonderful comedy
"i didn't find much fascination in the swinging. what they're doing is a matter of plumbing arrangements and mind games, of no erotic or sensuous charge. but that they are doing it is thought-provoking.",negative,i didn't find much fascination in the swinging what they're doing is a matter of plumbing arrangements and mind games of no erotic or sensuous charge but that they are doing it is thought provoking
"According to the schedule, the delivery truck is expected to arrive sometime between noon and 2 p.m.",neutral,according to the schedule the delivery truck is expected to arrive sometime between noon and p m
"it's the cute frissons of discovery and humor between chaplin and kidman that keep this nicely wound clock not just ticking, but humming.",positive,it's the cute frissons of discovery and humor between chaplin and kidman that keep this nicely wound clock not just ticking but humming
SHV SAYS IT MAKING TENDER OFFER FOR UP TO 33 MLN SHARES IN IC GAS,neutral,shv says it making tender offer for up to mln shares in ic gas
boomers and their kids will have a barrie good time.,positive,boomers and their kids will have a barrie good time
"in addition to scoring high for originality of plot -- putting together familiar themes of family, forgiveness and love in a new way -- lilo & stitch has a number of other assets to commend it to movie audiences both innocent and jaded.",positive,in addition to scoring high for originality of plot putting together familiar themes of family forgiveness and love in a new way lilo stitch has a number of other assets to commend it to movie audiences both innocent and jaded
"like all abstract art, the film does not make this statement in an easily accessible way, and -- unless prewarned -- it would be very possible for a reasonably intelligent person to sit through its tidal wave of imagery and not get this vision at all.",negative,like all abstract art the film does not make this statement in an easily accessible way and unless prewarned it would be very possible for a reasonably intelligent person to sit through its tidal wave of imagery and not get this vision at all
it's a ripper of a yarn and i for one enjoyed the thrill of the chill. naomi watts is terrific as rachel; her petite frame and vulnerable persona emphasising her plight and isolation.,positive,it's a ripper of a yarn and i for one enjoyed the thrill of the chill naomi watts is terrific as rachel her petite frame and vulnerable persona emphasising her plight and isolation
it tells its story in a flat manner and leaves you with the impression that you should have gotten more out of it than you did.,negative,it tells its story in a flat manner and leaves you with the impression that you should have gotten more out of it than you did
charming and funny ( but ultimately silly ) movie.,positive,charming and funny but ultimately silly movie
The figures cover around 95 pct of Rotterdam traffic in the products concerned.,neutral,the figures cover around pct of rotterdam traffic in the products concerned
my own minority report is that it stinks.,negative,my own minority report is that it stinks
"woody, what happened?",negative,woody what happened
The company said continued strength in its results prompted the move.,neutral,the company said continued strength in its results prompted the move
it all looks and plays like a $40 million version of a game you're more likely to enjoy on a computer.,negative,it all looks and plays like a million version of a game you're more likely to enjoy on a computer
"[city] reminds us how realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self-caricature of'analyze this' ( 1999 ) and'analyze that,' promised ( or threatened ) for later this year.",positive,city reminds us how realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self caricature of'analyze this' and'analyze that ' promised or threatened for later this year
"the title not only describes its main characters, but the lazy people behind the camera as well.",negative,the title not only describes its main characters but the lazy people behind the camera as well
The World Bank last month granted Indonesia a 300 mln dlr trade adjustment loan.,neutral,the world bank last month granted indonesia a mln dlr trade adjustment loan
"alternately hilarious and sad, aggravating and soulful, scathing and joyous. it's a masterpeice.",positive,alternately hilarious and sad aggravating and soulful scathing and joyous it's a masterpeice
a film with almost as many delights for adults as there are for children and dog lovers.,positive,a film with almost as many delights for adults as there are for children and dog lovers
puts to rest any thought that the german film industry cannot make a delightful comedy centering on food.,positive,puts to rest any thought that the german film industry cannot make a delightful comedy centering on food
"not everything works, but the average is higher than in mary and most other recent comedies.",positive,not everything works but the average is higher than in mary and most other recent comedies
"perhaps a better celebration of these unfairly dismissed heroes would be a film that isn't this painfully forced, false and fabricated.",negative,perhaps a better celebration of these unfairly dismissed heroes would be a film that isn't this painfully forced false and fabricated
The train leaves in ten minutes.,neutral,the train leaves in ten minutes
"Periods end February 28, 1987 and 1986, respectively.",neutral,periods end february and respectively
"being author wells' great-grandson, you'd think filmmaker simon wells would have more reverence for the material. but this costly dud is a far cry from either the book or the beloved film.",negative,being author wells' great grandson you'd think filmmaker simon wells would have more reverence for the material but this costly dud is a far cry from either the book or the beloved film
i'll bet the video game is a lot more fun than the film.,negative,i'll bet the video game is a lot more fun than the film
"This could turn into a serious political problem.""",neutral,this could turn into a serious political problem
"well-intentioned though it may be, its soap-opera morality tales have the antiseptic, preprogrammed feel of an after-school special.",negative,well intentioned though it may be its soap opera morality tales have the antiseptic preprogrammed feel of an after school special
""" We appreciate his management, but certainly some practices have to be corrected.""",neutral,we appreciate his management but certainly some practices have to be corrected
The company said the court has scheduled a hearing on the proposed settlement of the suit for July Eight.,neutral,the company said the court has scheduled a hearing on the proposed settlement of the suit for july eight
there are just enough twists in the tale to make it far more satisfying than almost any horror film in recent memory.,positive,there are just enough twists in the tale to make it far more satisfying than almost any horror film in recent memory
no reason for anyone to invest their hard-earned bucks into a movie which obviously didn't invest much into itself either.,negative,no reason for anyone to invest their hard earned bucks into a movie which obviously didn't invest much into itself either
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichés and borrowed images that it might more accurately be titled mr. chips off the old block.,negative,buries an interesting storyline about morality and the choices we make underneath such a mountain of clich s and borrowed images that it might more accurately be titled mr chips off the old block
"still pretentious and filled with subtext, but entertaining enough at'face value' to recommend to anyone looking for something different.",positive,still pretentious and filled with subtext but entertaining enough at'face value' to recommend to anyone looking for something different
"a rollicking ride, with jaw-dropping action sequences, striking villains, a gorgeous color palette, astounding technology, stirring music and a boffo last hour that leads up to a strangely sinister happy ending.",positive,a rollicking ride with jaw dropping action sequences striking villains a gorgeous color palette astounding technology stirring music and a boffo last hour that leads up to a strangely sinister happy ending
"Over the year business volume rose by 9. 9 pct to 93. 2 billion marks compared with 1985, Seipp added.",neutral,over the year business volume rose by pct to billion marks compared with seipp added
Registered unemployed totalled 2. 81 mln or 21. 1 pct of the workforce in February 1986.,neutral,registered unemployed totalled mln or pct of the workforce in february
"According to the official, Venezuela is searching worldwide for the additional refining capacity but he did not mention where the company was looking.",neutral,according to the official venezuela is searching worldwide for the additional refining capacity but he did not mention where the company was looking
"one big blustery movie where nothing really happens. when it comes out on video, then it's the perfect cure for insomnia.",negative,one big blustery movie where nothing really happens when it comes out on video then it's the perfect cure for insomnia
"there are no special effects, and no hollywood endings.",positive,there are no special effects and no hollywood endings
"The clouts are coming fom the West.""",neutral,the clouts are coming fom the west
a film about a young man finding god that is accessible and touching to the marrow.,positive,a film about a young man finding god that is accessible and touching to the marrow
On Friday TWA said it had already acquired four mln shares or 15 pct of USAir.,neutral,on friday twa said it had already acquired four mln shares or pct of usair
new best friend shouldn't have gone straight to video; it should have gone straight to a mystery science theater 3000 video.,negative,new best friend shouldn't have gone straight to video it should have gone straight to a mystery science theater video
offers enough playful fun to entertain the preschool set while embracing a wholesome attitude.,positive,offers enough playful fun to entertain the preschool set while embracing a wholesome attitude
The company said its subsidiary is not precluded from making a new filing to provide sufficient support.,neutral,the company said its subsidiary is not precluded from making a new filing to provide sufficient support
"Under the terms of the letter of intent, Chrysler will purchase Renault ' s stake held in the form of bonds and shares.",neutral,under the terms of the letter of intent chrysler will purchase renault ' s stake held in the form of bonds and shares
fuller would surely have called this gutsy and at times exhilarating movie a great yarn.,positive,fuller would surely have called this gutsy and at times exhilarating movie a great yarn
"It had no meeting scheduled with the other three striking locals, which rejected a tentative three - year contract Saturday, Cominco spokesman Richard Fish said.",neutral,it had no meeting scheduled with the other three striking locals which rejected a tentative three year contract saturday cominco spokesman richard fish said
Management bought the other 50 pct.,neutral,management bought the other pct
"this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff, demonstrating yet again that the era of the intelligent, well-made b movie is long gone.",negative,this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff demonstrating yet again that the era of the intelligent well made b movie is long gone
"The pact was a major turning point in U. S. Policy, ending a period of disdain for economic cooperation and intervention in currency markets.",neutral,the pact was a major turning point in u s policy ending a period of disdain for economic cooperation and intervention in currency markets
Pope Evans has about 7. 6 mln shares outstanding.,neutral,pope evans has about mln shares outstanding
Company ' s full name is Richarson Electronics Ltd.,neutral,company ' s full name is richarson electronics ltd
"a few energetic stunt sequences briefly enliven the film, but the wheezing terrorist subplot hasn't the stamina for the 100-minute running time, and the protagonists' bohemian boorishness mars the spirit of good clean fun.",negative,a few energetic stunt sequences briefly enliven the film but the wheezing terrorist subplot hasn't the stamina for the minute running time and the protagonists' bohemian boorishness mars the spirit of good clean fun
the best way to hope for any chance of enjoying this film is by lowering your expectations. then lower them a bit more.,negative,the best way to hope for any chance of enjoying this film is by lowering your expectations then lower them a bit more
"as weber and weissman demonstrate with such insight and celebratory verve, the cockettes weren't as much about gender, sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel, connect and create.",positive,as weber and weissman demonstrate with such insight and celebratory verve the cockettes weren't as much about gender sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel connect and create
"One of their leaders, Orlando dos Santos, told Reuters that most of the 1, 100 seamen in the port offered their resignations on Wednesday.",neutral,one of their leaders orlando dos santos told reuters that most of the seamen in the port offered their resignations on wednesday
BANK OF JAPAN ALREADY PURCHASED ONE BILLION DLRS IN MORNING INTERVENTION - DEALERS,neutral,bank of japan already purchased one billion dlrs in morning intervention dealers
German Finance Ministry confident of maintaining currency stability at around current levels - spokesman,neutral,german finance ministry confident of maintaining currency stability at around current levels spokesman
"the actresses may have worked up a back story for the women they portray so convincingly, but viewers don't get enough of that background for the characters to be involving as individuals rather than types.",negative,the actresses may have worked up a back story for the women they portray so convincingly but viewers don't get enough of that background for the characters to be involving as individuals rather than types
"deflated ending aside, there's much to recommend the film.",positive,deflated ending aside there's much to recommend the film
"a fun family movie that's suitable for all ages -- a movie that will make you laugh, cry and realize,'it's never too late to believe in your dreams.'",positive,a fun family movie that's suitable for all ages a movie that will make you laugh cry and realize 'it's never too late to believe in your dreams '
Fisher said 5300 also told it they will continue to explore possible advantages and disadvantages of various acquisition proposals.,neutral,fisher said also told it they will continue to explore possible advantages and disadvantages of various acquisition proposals
"despite the film's shortcomings, the stories are quietly moving.",positive,despite the film's shortcomings the stories are quietly moving
"Provisions for startup expenses have been made, it added.",neutral,provisions for startup expenses have been made it added
BANK OF FRANCE LEAVES INTERVENTION RATE UNCHANGED AT 7 - 3 / 4 PCT - OFFICIAL,neutral,bank of france leaves intervention rate unchanged at pct official
The grant comes as part of package announced on March 13 for Indian mineral development.,neutral,the grant comes as part of package announced on march for indian mineral development
"a superfluous sequel... plagued by that old familiar feeling of'let's get this thing over with': everyone has shown up at the appointed time and place, but visible enthusiasm is mighty hard to find.",negative,a superfluous sequel plagued by that old familiar feeling of'let's get this thing over with' everyone has shown up at the appointed time and place but visible enthusiasm is mighty hard to find
... spellbinding fun and deliciously exploitative.,positive,spellbinding fun and deliciously exploitative
The crumbling of the plan has been accompanied by a dramatic reversal in the foreign trade account.,neutral,the crumbling of the plan has been accompanied by a dramatic reversal in the foreign trade account
"it's hard to imagine any recent film, independent or otherwise, that makes as much of a mess as this one.",negative,it's hard to imagine any recent film independent or otherwise that makes as much of a mess as this one
She is reading a book.,neutral,she is reading a book
"They amounted to 180. 8 mln dlrs fob compared with 147. 5 mln dlrs for coffee, a drop of 42 pct from last year.",neutral,they amounted to mln dlrs fob compared with mln dlrs for coffee a drop of pct from last year
"legendary irish writer brendan behan's memoir, borstal boy, has been given a loving screen transferral.",positive,legendary irish writer brendan behan's memoir borstal boy has been given a loving screen transferral
CANBRA FOODS LTD SETS SPECIAL ONE - TIME FIVE DLR / COMMON SHR CASH PAYOUT,neutral,canbra foods ltd sets special one time five dlr common shr cash payout
Avia said it had not seen the court papers and said it had no comment on the suit.,neutral,avia said it had not seen the court papers and said it had no comment on the suit
"a work of the utmost subtlety and perception, it marks the outstanding feature debut of writer-director eric byler, who understands the power of the implicit and the virtues of simplicity and economy.",positive,a work of the utmost subtlety and perception it marks the outstanding feature debut of writer director eric byler who understands the power of the implicit and the virtues of simplicity and economy
Morrison sees 1987 earnings at 1. 25 dlrs and 1988 at 1. 75 against losses in 1986.,neutral,morrison sees earnings at dlrs and at against losses in
'like a child with an important message to tell... [skins'] faults are easy to forgive because the intentions are lofty.',positive,'like a child with an important message to tell skins' faults are easy to forgive because the intentions are lofty '
"the origin story is well told, and the characters will not disappoint anyone who values the original comic books. it's in the action scenes that things fall apart.",negative,the origin story is well told and the characters will not disappoint anyone who values the original comic books it's in the action scenes that things fall apart
Fourth quarter and full year 1986 reflect non - recurring charges from change in control at company.,neutral,fourth quarter and full year reflect non recurring charges from change in control at company
Kistler said the cost savings and greater efficiencies should put the company on a profitable course.,neutral,kistler said the cost savings and greater efficiencies should put the company on a profitable course
I can't believe how bad this is.,negative,i can't believe how bad this is
a marvelous performance by allison lohman as an identity-seeking foster child.,positive,a marvelous performance by allison lohman as an identity seeking foster child
it makes me feel weird / thinking about all the bad things in the world / like puppies with broken legs / and butterflies that die / and movies starring pop queens,negative,it makes me feel weird thinking about all the bad things in the world like puppies with broken legs and butterflies that die and movies starring pop queens
The plan involves NZFP increasing its current holding in Amcor to about 20 pct from four pct.,neutral,the plan involves nzfp increasing its current holding in amcor to about pct from four pct
I regret buying this item because the quality was nowhere near what was advertised online.,negative,i regret buying this item because the quality was nowhere near what was advertised online
I really enjoyed that.,positive,i really enjoyed that
The dividend is payable April 14 to holders of record March 31.,neutral,the dividend is payable april to holders of record march
definitely worth 95 minutes of your time.,positive,definitely worth minutes of your time
one of the most exciting action films to come out of china in recent years.,positive,one of the most exciting action films to come out of china in recent years
becomes a fascinating study of isolation and frustration that successfully recreates both the physical setting and emotional tensions of the papin sisters.,positive,becomes a fascinating study of isolation and frustration that successfully recreates both the physical setting and emotional tensions of the papin sisters
"after watching it, you can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history.",positive,after watching it you can only love the players it brings to the fore for the gifted but no nonsense human beings they are and for the still inestimable contribution they have made to our shared history
Dealers said the worsening trade relations between the U. S. And Japan will continue to depress the dollar.,neutral,dealers said the worsening trade relations between the u s and japan will continue to depress the dollar
"i'm afraid you won't get through this frankly fantastical by-the-numbers b-flick with just a suspension of disbelief. rather, you'll have to wrestle disbelief to the ground and then apply the chloroform-soaked handkerchief.",negative,i'm afraid you won't get through this frankly fantastical by the numbers b flick with just a suspension of disbelief rather you'll have to wrestle disbelief to the ground and then apply the chloroform soaked handkerchief
"blade ii has a brilliant director and charismatic star, but it suffers from rampant vampire devaluation.",negative,blade ii has a brilliant director and charismatic star but it suffers from rampant vampire devaluation
"despite impeccable acting... and a script that takes some rather unexpected ( even, at times, preposterous ) turns, love is just too, too precious in the end.",negative,despite impeccable acting and a script that takes some rather unexpected even at times preposterous turns love is just too too precious in the end
"opens at a funeral, ends on the protagonist's death bed and doesn't get much livelier in the three hours in between.",negative,opens at a funeral ends on the protagonist's death bed and doesn't get much livelier in the three hours in between
eight legged freaks falls flat as a spoof.,negative,eight legged freaks falls flat as a spoof
"so what is the point? lovingly choreographed bloodshed taking place in a pristine movie neverland, basically.",negative,so what is the point lovingly choreographed bloodshed taking place in a pristine movie neverland basically
"the sight of the spaceship on the launching pad is duly impressive in imax dimensions, as are shots of the astronauts floating in their cabins.",positive,the sight of the spaceship on the launching pad is duly impressive in imax dimensions as are shots of the astronauts floating in their cabins
The company said the dividend is payable March 31 to holders of record March 17.,neutral,the company said the dividend is payable march to holders of record march
Cocoa production and exports are forecast to rise steadily as the government develops cocoa plantations.,neutral,cocoa production and exports are forecast to rise steadily as the government develops cocoa plantations
the script is smart and dark - hallelujah for small favors.,positive,the script is smart and dark hallelujah for small favors
""" Japanese semiconductor manufacturers have complied with the U. S./ Japan agreement,"" said Shoichi Saba, Chairman of the Electronic Industries Association of Japan.",neutral,japanese semiconductor manufacturers have complied with the u s japan agreement said shoichi saba chairman of the electronic industries association of japan
"a strong first act and absolutely, inescapably gorgeous, skyscraper-trapeze motion of the amazing spider-man.",positive,a strong first act and absolutely inescapably gorgeous skyscraper trapeze motion of the amazing spider man
"The movie dragged on far too long, the plot made no sense, and the ending was unsatisfying.",negative,the movie dragged on far too long the plot made no sense and the ending was unsatisfying
He said several agencies currently helped FEMA to manage the stockpile and decide how much to sell to help the deficit.,neutral,he said several agencies currently helped fema to manage the stockpile and decide how much to sell to help the deficit
it's good to see michael caine whipping out the dirty words and punching people in the stomach again.,positive,it's good to see michael caine whipping out the dirty words and punching people in the stomach again
Jamaican ambassador Leslie Wilson said ACP countries are convinced this would lead to EC industry substituting products made within the bloc for oil and fat imports.,neutral,jamaican ambassador leslie wilson said acp countries are convinced this would lead to ec industry substituting products made within the bloc for oil and fat imports
a film so tedious that it is impossible to care whether that boast is true or not.,negative,a film so tedious that it is impossible to care whether that boast is true or not
BARCLAYS BANK SAID IT CUTTING BASE LENDING RATE TO 10. 5 PCT FROM 11 PCT.,neutral,barclays bank said it cutting base lending rate to pct from pct
"a horror movie with seriously dumb characters, which somewhat dilutes the pleasure of watching them stalked by creepy-crawly bug things that live only in the darkness.",negative,a horror movie with seriously dumb characters which somewhat dilutes the pleasure of watching them stalked by creepy crawly bug things that live only in the darkness
"in auteil's less dramatic but equally incisive performance, he's a charismatic charmer likely to seduce and conquer.",positive,in auteil's less dramatic but equally incisive performance he's a charismatic charmer likely to seduce and conquer
A High Command communique said Iraqi troops had won a significant victory and were continuing to advance.,neutral,a high command communique said iraqi troops had won a significant victory and were continuing to advance
"famuyiwa's feature deals with its subject matter in a tasteful, intelligent manner, rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer.",positive,famuyiwa's feature deals with its subject matter in a tasteful intelligent manner rather than forcing us to endure every plot contrivance that the clich riddled genre can offer
the movie plays up the cartoon's more obvious strength of snazziness while neglecting its less conspicuous writing strength.,positive,the movie plays up the cartoon's more obvious strength of snazziness while neglecting its less conspicuous writing strength
the tenderness of the piece is still intact.,positive,the tenderness of the piece is still intact
The company said it experienced revenue growth across all product lines during the quarter.,neutral,the company said it experienced revenue growth across all product lines during the quarter
"while the performances are often engaging, this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary.",negative,while the performances are often engaging this loose collection of largely improvised numbers would probably have worked better as a one hour tv documentary
But they allege talks broke off because Painewebber and Ammeen could not satisfy Edelman and dominion with a written statement that they did not provide inside information.,neutral,but they allege talks broke off because painewebber and ammeen could not satisfy edelman and dominion with a written statement that they did not provide inside information
The coffee here is fantastic.,positive,the coffee here is fantastic
The museum opens at 9 a.m.,neutral,the museum opens at a m
The recipe calls for two eggs.,neutral,the recipe calls for two eggs
a modest pleasure that accomplishes its goals with ease and confidence.,positive,a modest pleasure that accomplishes its goals with ease and confidence
""" Responsible tax reform must be fiscally responsible,"" Wilson said in a speech prepared for the House of Commons.",neutral,responsible tax reform must be fiscally responsible wilson said in a speech prepared for the house of commons
"some body often looks like an episode of the tv show blind date, only less technically proficient and without the pop-up comments.",negative,some body often looks like an episode of the tv show blind date only less technically proficient and without the pop up comments
Market talk suggested 11 dlrs had been paid for grain from the U. S. North Pacific to Japan but no confirmation was available.,neutral,market talk suggested dlrs had been paid for grain from the u s north pacific to japan but no confirmation was available
The package arrived on Monday.,neutral,the package arrived on monday
stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time.,negative,stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time
"this concoction, so bizarre to the adult mind, is actually a charming triumph where its intended under-12 audience is concerned.",positive,this concoction so bizarre to the adult mind is actually a charming triumph where its intended under audience is concerned
He said Philippine copra cake contained much higher levels of aflatoxin.,neutral,he said philippine copra cake contained much higher levels of aflatoxin
"what could have easily become a cold, calculated exercise in postmodern pastiche winds up a powerful and deeply moving example of melodramatic moviemaking.",positive,what could have easily become a cold calculated exercise in postmodern pastiche winds up a powerful and deeply moving example of melodramatic moviemaking
"In addition, John Lennon, current chairman and chief executive officer, will remain as chairman, he company said.",neutral,in addition john lennon current chairman and chief executive officer will remain as chairman he company said
"it's leaden and predictable, and laughs are lacking.",negative,it's leaden and predictable and laughs are lacking
There has been no official estimate of damage.,neutral,there has been no official estimate of damage
"a frantic search for laughs, with a hit-to-miss ratio that doesn't exactly favour the audience.",negative,a frantic search for laughs with a hit to miss ratio that doesn't exactly favour the audience
"if you like an extreme action-packed film with a hint of humor, then triple x marks the spot.",positive,if you like an extreme action packed film with a hint of humor then triple x marks the spot
"finally, a genre movie that delivers -- in a couple of genres, no less.",positive,finally a genre movie that delivers in a couple of genres no less
[at least] moore is a real charmer.,negative,at least moore is a real charmer
The company makes artificial hearts.,neutral,the company makes artificial hearts
share amts relfect dividend requirements.,neutral,share amts relfect dividend requirements
scott delivers a terrific performance in this fascinating portrait of a modern lothario.,positive,scott delivers a terrific performance in this fascinating portrait of a modern lothario
"The sanctions were levied on certain Japanese television sets, personal computers and hand - held power tools.",neutral,the sanctions were levied on certain japanese television sets personal computers and hand held power tools
"though it lacks the utter authority of a genre gem, there's a certain robustness to this engaging mix of love and bloodletting.",positive,though it lacks the utter authority of a genre gem there's a certain robustness to this engaging mix of love and bloodletting
"on its own cinematic terms, it successfully showcases the passions of both the director and novelist byatt.",positive,on its own cinematic terms it successfully showcases the passions of both the director and novelist byatt
"with zoe clarke-williams's lackluster thriller "" new best friend "", who needs enemies? just another generic drama that has nothing going for it other than its exploitive array of obligatory cheap thrills.",negative,with zoe clarke williams's lackluster thriller new best friend who needs enemies just another generic drama that has nothing going for it other than its exploitive array of obligatory cheap thrills
mazel tov to a film about a family's joyous life acting on the yiddish stage.,positive,mazel tov to a film about a family's joyous life acting on the yiddish stage
"'... both hokey and super-cool, and definitely not in a hurry, so sit back, relax and have a few laughs while the little ones get a fuzzy treat.'",positive,' both hokey and super cool and definitely not in a hurry so sit back relax and have a few laughs while the little ones get a fuzzy treat '
Baldrige said the Reagan administration hoped the strong U. S. Action against Japan would convince Congress to tone down protectionist trade legislation now being drafted.,neutral,baldrige said the reagan administration hoped the strong u s action against japan would convince congress to tone down protectionist trade legislation now being drafted
bears is even worse than i imagined a movie ever could be.,negative,bears is even worse than i imagined a movie ever could be
"more vaudeville show than well-constructed narrative, but on those terms it's inoffensive and actually rather sweet.",positive,more vaudeville show than well constructed narrative but on those terms it's inoffensive and actually rather sweet
"it's so tedious that it makes you forgive every fake, dishonest, entertaining and, ultimately, more perceptive moment in bridget jones's diary.",negative,it's so tedious that it makes you forgive every fake dishonest entertaining and ultimately more perceptive moment in bridget jones's diary
The department said inflows were boosted in the fourth quarter by international activities of Japanese banks and strong demand within the United States to finance acquisitions.,neutral,the department said inflows were boosted in the fourth quarter by international activities of japanese banks and strong demand within the united states to finance acquisitions
exactly what it claims to be -- a simple diversion for the kids.,negative,exactly what it claims to be a simple diversion for the kids
